投诉编号,投诉品牌,投诉车系,问题简述,典型问题,投诉时间,投诉状态
486329,一汽-大众,2019款 200TSI 手动 舒适型 国VI,一汽大众速腾一挡起步时转速自动升高,发动机怠速不稳,2020-06-21 09:46:33.351,信息审核
486328,上汽集团,2019款 30T 自动 两驱 Trophy超燃版 国VI,上汽名爵HS发动机排放故障频发 动力消失,发动机故障灯亮发动机动力消失变速器故障灯亮,2020-06-21 09:46:33.361,厂家受理
486327,吉利汽车,2018款 1.4T 自动 领潮版 领尚智联型,吉利帝豪GS 4S店私自收回购车合同,服务收费定（订）金纠纷承诺不兑现销售承诺不兑现,2020-06-21 09:46:33.370,信息审核
486321,上汽大众,2017款 330TSI 两驱 豪华版,上汽大众途观L车身共振影响驾驶安全,车身附件及电器车身共振,2020-06-21 09:46:33.386,信息审核
486318,广汽丰田,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左前半轴有漏油现象,前后桥及悬挂系统半轴渗油,2020-06-21 09:46:33.400,信息审核
486314,奥迪（进口）,2014款 30 TFSI Sportback 时尚型,进口奥迪A1变速箱机电单元故障引起故障灯亮,变速器故障灯亮变速器滑阀箱故障,2020-06-21 09:46:33.411,信息审核
486312,Jeep（进口）,2014款 2.4L 自动 四驱 舒适版 改款,进口Jeep指南者隔音棉问题导致车内异味,车身附件及电器车内异味,2020-06-21 09:46:33.422,信息审核
486311,一汽-大众,2017款 330TSI DSG 豪华型,一汽大众迈腾行驶中变速箱报警 挡位缺失,变速器顿挫变速器故障灯亮变速器滑阀箱故障,2020-06-21 09:46:33.437,处理反馈
486308,吉利汽车,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际尊享版和高配氛围灯虚假宣传,销售欺诈与宣传不符,2020-06-21 09:46:33.448,信息审核
486304,北汽新能源,2018款 EU5 R500 智尚版,北汽新能源EU5行驶时变速箱脱挡无法挂挡,变速器无法换挡变速器脱挡,2020-06-21 09:46:33.460,厂家受理
486302,猎豹汽车,2017款 2.0T 手动 风尚型,猎豹CS10转向时异响并且卡顿 刹车抖动,转向系统异响转向系统卡滞制动系统抖动,2020-06-21 09:46:33.469,信息审核
486298,一汽-大众,2018款 280TSI DSG熠动版,一汽大众速腾顶棚鼓包 大灯进雾 刹车盘生锈,制动系统生锈车身附件及电器部件开裂车身附件及电器车灯进水,2020-06-21 09:46:33.479,处理反馈
486297,广汽本田,2005款 2.4 自动 标准版,广汽本田雅阁吊拉设计的前悬挂存在安全隐患,其他疑似设计缺陷,2020-06-21 09:46:33.491,信息审核
486296,北京奔驰,2016款 200 L 运动型,北京奔驰C级空调系统无法调节温度影响使用,车身附件及电器空调问题,2020-06-21 09:46:33.503,信息审核
486293,奇瑞汽车,2016款 1.5L CVT 领臻版,奇瑞艾瑞泽5发动机生锈4S店不予解决,发动机缸体生锈,2020-06-21 09:46:33.514,信息审核
486288,吉利汽车,2019款 改款 350T 驭星者AWD,吉利星越实车多项配置与厂家宣传不符	,销售欺诈与宣传不符,2020-06-21 09:46:33.529,信息审核
486287,长安马自达,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉新车车门出现下沉,车身附件及电器车门故障,2020-06-21 09:46:33.542,信息审核
486286,吉利汽车,2018款 1.5L 手动 豪华型,吉利帝豪发动机油耗高一直未解决,发动机油耗高,2020-06-21 09:46:33.553,信息审核
486283,长安汽车,2020款 1.5T 自动 豪华型,长安CS75 PLUS车载微信缺失与宣传不符,销售欺诈与宣传不符,2020-06-21 09:46:33.563,处理反馈
486280,东风悦达起亚,2018款 2.0L 自动 智享豪华版,东风悦达起亚智跑发动机盖漆面开裂脱落,车身附件及电器漆面起泡开裂,2020-06-21 09:46:33.573,信息审核
486279,广汽丰田,2019款 185T CVT 运动版 国VI,广汽丰田雷凌变速箱换挡顿挫 转向异响,变速器顿挫转向系统异响,2020-06-21 09:46:33.582,信息审核
486277,上汽通用五菱,2018款 1.5L 手动 精英型 国V,宝骏360更换的挡风玻璃漏水漏风4S店不解决,服务态度不解决问题人员技术维修技术差,2020-06-21 09:46:34.555,信息审核
486274,长安汽车,2020款 1.5T 自动 潮锐型,长安锐程CC行驶中突然熄火要求处理,发动机熄火,2020-06-21 09:46:34.567,处理反馈
486271,东风标致,2014款 1.8L 自动 豪华版,东风标致408发动机故障灯亮烧机油空调异响,发动机故障灯亮发动机烧机油车身附件及电器空调问题,2020-06-21 09:46:34.578,信息审核
486270,广汽丰田,2017款 185T CVT 精英版 国V 改款,广汽丰田雷凌后减震器出现漏油的现象,前后桥及悬挂系统减震器漏油,2020-06-21 09:46:34.593,信息审核
486268,长安马自达,2020款 2.0L 自动 质雅版,长安马自达昂克赛拉方向盘锁死故障灯亮,转向系统卡滞转向系统转向机故障转向系统故障灯亮,2020-06-21 09:46:34.610,信息审核
486267,一汽红旗,2019款 3.0T 自动 四驱 旗悦版,红旗HS7换挡机构故障导致P挡挂不上,变速器挡把总成故障,2020-06-21 09:46:34.622,信息审核
486266,一汽-大众,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾升降挡时变速箱异响严重,变速器异响,2020-06-21 09:46:34.631,处理反馈
486262,广汽三菱,2018款 2.0L CVT 两驱 智橙版,广汽三菱劲炫触摸屏死机厂家未回复,车身附件及电器影音系统故障,2020-06-21 09:46:34.640,厂家受理
486261,比亚迪,2019款 400出行版,比亚迪e2下雨天前挡风玻璃上的雾气无法吹干,车身附件及电器空调问题,2020-06-21 09:46:34.651,处理反馈
486260,上汽大众,2017款 230TSI 手动 风尚版,上汽大众凌渡一键升降失灵销售不管售后问题,车身附件及电器车窗升降故障服务态度不解决问题,2020-06-21 09:46:34.665,信息审核
486257,江铃汽车,2018款 2.5T 四驱 进取版 长轴距 柴油,江铃域虎3底盘异响 SVS故障灯亮,发动机故障灯亮前后桥及悬挂系统底盘异响,2020-06-21 09:46:34.673,信息审核
486255,东风日产,2020款 1.6L CVT 智行版,东风日产骐达减震器漏油售后服务态度差,前后桥及悬挂系统减震器漏油服务态度态度蛮横,2020-06-21 09:46:34.684,处理反馈
486254,上汽大众,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机存在金属撞击声,发动机异响,2020-06-21 09:46:34.693,信息审核
486252,上汽集团,2019款 20T 自动 运动版,上汽名爵6保养后异响且存在汽油味,发动机异响人员技术修出新问题,2020-06-21 09:46:34.702,厂家受理
486251,一汽-大众,2019款 1.5L 手动 舒适型,一汽大众宝来发动机故障灯亮 离合器异响,发动机故障灯亮离合器异响,2020-06-21 09:46:34.713,用户评分
486250,吉利汽车,2019款 200T DCT 缤驰版,吉利缤瑞变速箱油封损坏导致漏油,变速器漏油,2020-06-21 09:46:34.722,信息审核
486249,吉利汽车,2019款 运动款 260T DCT Battle 国VI 运动款,吉利缤越厂家涉嫌欺诈不予升级车机系统,制动系统异响车身附件及电器部件开裂承诺不兑现服务承诺不兑现销售欺诈出售问题车,2020-06-21 09:46:34.732,信息审核
486248,广汽丰田,2018款 2.0G 自动 豪华版,广汽丰田凯美瑞正常行驶中天窗异响,车身附件及电器天窗异响,2020-06-21 09:46:34.741,信息审核
486246,北京现代,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响并且明显卡顿,转向系统异响转向系统卡滞,2020-06-21 09:46:34.754,信息审核
486244,一汽-大众,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜出现白雾水珠亮度不够,车身附件及电器车灯不亮,2020-06-21 09:46:34.765,信息审核
486242,一汽-大众,2019款 征途版 280TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯白内障模糊不清存在隐患,车身附件及电器车灯不亮,2020-06-21 09:46:34.773,处理反馈
486241,上汽大众,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L左后轮偏磨吃胎 四缸漏油,发动机漏油前后桥及悬挂系统吃胎偏磨,2020-06-21 09:46:34.782,信息审核
486240,长安马自达,2016款 1.5L 自动 舒适型 三厢,长安马自达昂克赛拉行驶过程中空调不制冷,车身附件及电器空调问题,2020-06-21 09:46:34.790,信息审核
486239,吉利汽车,2019款 260T DCT Battle 运动款 国V,吉利缤越导航无法定位 倒车镜风噪大,车身附件及电器车载互联故障车身附件及电器后视镜故障承诺不兑现服务承诺不兑现,2020-06-21 09:46:34.799,信息审核
486237,东风本田,2017款 240TURBO 自动 两驱 都市版,东风本田CR-V变速箱渗油希望尽快解决,变速器漏油,2020-06-21 09:46:34.809,处理反馈
486235,吉利汽车,2020款 1.5T MHEV 耀享版,吉利博瑞旧车置换补贴款承诺不兑现,承诺不兑现销售承诺不兑现,2020-06-21 09:46:34.820,信息审核
486234,吉利汽车,2020款 1.8TD DCT 智尊PRO,吉利博越原地打方向异响 无挡位灯及雾灯,转向系统异响销售欺诈与宣传不符,2020-06-21 09:46:34.830,信息审核
486233,一汽-大众,2019款 330TSI DSG 领先型 国V,一汽大众迈腾低速加速时变速箱存在口哨声,变速器异响,2020-06-21 09:46:34.839,信息审核
486232,观致汽车,2018款 1.6T 自动 尊贵型,观致5换挡逻辑混乱且变速箱脱挡,变速器脱挡变速器拖挡,2020-06-21 09:46:34.849,信息审核
486227,一汽-大众,2016款 1.6L 自动 舒适型,一汽大众高尔夫嘉旅变速箱故障灯亮,变速器故障灯亮,2020-06-21 09:46:34.857,处理反馈
486224,北京奔驰,2020款 C 260 运动版,北京奔驰C级韩泰轮胎容易鼓包破损,轮胎鼓包,2020-06-21 09:46:35.753,信息审核
486222,一汽-大众奥迪,2020款 35TFSI 时尚动感型,一汽大众奥迪Q2L变速箱异响要求解决,变速器异响,2020-06-21 09:46:35.762,信息审核
486221,上汽大众,2013款 1.6L 自动 经典风尚版,上汽大众朗逸车内异味严重无法解决,车身附件及电器车内异味,2020-06-21 09:46:35.772,信息审核
486220,一汽-大众,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳车灯进水干燥后有水印,车身附件及电器车灯进水,2020-06-21 09:46:35.781,处理反馈
486218,Jeep（进口）,2014款 2.0L 自动 两驱 运动版,进口Jeep指南者车内异味严重无法散去,车身附件及电器车内异味,2020-06-21 09:46:35.794,信息审核
486215,广汽本田,2020款 240TURBO CVT 两驱 豪华版,广汽本田皓影销售承诺不兑现 不给合同	,服务态度态度蛮横承诺不兑现销售承诺不兑现服务流程不完善手续不齐,2020-06-21 09:46:35.809,信息审核
486214,东风雪铁龙,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机漏油 漏防冻液,发动机漏油发动机漏防冻液,2020-06-21 09:46:35.822,信息审核
486213,领克汽车,2019款 2.0TD 自动 劲Pro版,领克03故障灯亮 4S店错误判断维修,发动机故障灯亮人员技术维修技术差,2020-06-21 09:46:35.834,信息审核
486208,路虎进口,2019款 250PS R-DYNAMIC S,路虎揽胜星脉颠簸路车内低频共鸣压耳,车身附件及电器车身共振,2020-06-21 09:46:35.843,信息审核
486206,吉利汽车,2020款 350T 驭星者AWD,吉利星越车机系统存在虚假宣传 空调异味,车身附件及电器空调异味销售欺诈与宣传不符,2020-06-21 09:46:35.860,信息审核
486200,一汽-大众,2019款 1.5L 自动 舒适型,一汽大众宝来行驶中有晃动跳动现象,前后桥及悬挂系统行驶中颠簸,2020-06-21 09:46:35.873,处理反馈
486194,一汽-大众,2014款 1.4TSI 自动 时尚型,一汽大众速腾前挡风玻璃自然开裂,车身附件及电器玻璃开裂,2020-06-21 09:46:35.887,信息审核
486191,广汽本田,2020款 1.5L CVT 先锋版,广汽本田缤智油箱口附近漆面脱落,车身附件及电器漆面起泡开裂,2020-06-21 09:46:35.896,信息审核
486190,吉利汽车,2019款 260T DCT 骑士 国V,吉利缤越4S店喷漆质量差导致起泡,人员技术维修技术差,2020-06-21 09:46:35.910,信息审核
486188,东风雪铁龙,2011款 1.6 自动 时尚型 三厢,东风雪铁龙世嘉3挡锁死提示变速箱故障,变速器故障灯亮变速器滑阀箱故障,2020-06-21 09:46:35.925,信息审核
486187,东风标致,2016款 1.6T 自动 豪华版,东风标致408四个轮毂不同程度氧化,车身附件及电器轮毂问题,2020-06-21 09:46:35.936,信息审核
486186,上汽大众,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸前挡风玻璃无故开裂,车身附件及电器玻璃开裂,2020-06-21 09:46:35.950,信息审核
486185,一汽-大众,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯里面有雾气不予解决,车身附件及电器车灯进水,2020-06-21 09:46:35.959,处理反馈
486184,广汽本田,2018款 260TURBO 精英版 国V,广汽本田雅阁机油增多超过标尺上限,发动机机油增多,2020-06-21 09:46:35.969,信息审核
486183,华晨宝马,2014款 528Li 领先型,华晨宝马5系左前大灯脱皮影响驾驶,车身附件及电器灯罩裂纹或变形,2020-06-21 09:46:35.981,信息审核
486182,东风乘用车,2019款 1.6T 自动 AI领航型 国V,东风风神AX7转向异响 开关车门异响,转向系统异响车身附件及电器门窗异响,2020-06-21 09:46:35.992,处理反馈
486181,新特汽车,2018款 创睿版,新特SITECH DEV 1无法启动4S店无配件更换,配件争议无零配件,2020-06-21 09:46:36.002,信息审核
486178,东风乘用车,2018款 1.6T 自动 豪华型,东风风神AX7踩油门加速时发动机无动力,发动机功率不足,2020-06-21 09:46:36.011,处理反馈
486177,一汽丰田,2017款 1.5L CVT 锋驰版,一汽丰田威驰FS正副驾车门有断裂现象,车身附件及电器部件开裂,2020-06-21 09:46:36.020,信息审核
486176,吉利汽车,2019款 350T 耀星者,吉利星越车机卡顿 转向时存在异响,转向系统异响销售欺诈与宣传不符,2020-06-21 09:46:36.028,信息审核
486170,广汽本田,2016款 1.5L LX CVT 舒适型,广汽本田飞度启动后存在打齿声音,发动机异响,2020-06-21 09:46:36.036,信息审核
486166,吉利汽车,2013款 1.5L 手动 进取型 三厢,吉利经典帝豪车身生锈 行驶时变速箱异响,变速器异响车身附件及电器车身生锈车身附件及电器灯罩裂纹或变形,2020-06-21 09:46:36.046,信息审核
486165,长安汽车,2020款 1.5T 自动 尊贵型,长安CS75 PLUS导航定位不准确发生偏移,车身附件及电器导航问题,2020-06-21 09:46:36.057,处理反馈
486163,吉利汽车,2019款 300T 耀星者,吉利星越方向左偏 车机黑屏并且死机,前后桥及悬挂系统跑偏车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21 09:46:36.065,信息审核
486162,广汽丰田,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达升级的多媒体系统与宣传不符,销售欺诈与宣传不符,2020-06-21 09:46:36.079,信息审核
486154,奔驰（进口）,2018款 GLE 400 4MATIC 臻藏版,进口奔驰GLE车内异味希望厂家处理问题,车身附件及电器车内异味,2020-06-21 09:46:36.973,信息审核
486151,长安汽车,2020款 2.0T 自动 领航型,长安CS75 PLUS车载微信功能与宣传不符,销售欺诈与宣传不符,2020-06-21 09:46:36.987,处理反馈
486149,一汽-大众,2020款 330TSI 两驱 豪华智联版,一汽大众探岳变速箱异响燃油泵声音大,变速器异响车身附件及电器汽油泵故障,2020-06-21 09:46:37.000,处理反馈
486148,长安跨越,2018款 1.2L 舒适型 单排 后单轮 标准货箱,长安跨越新豹T3配件质量差要求退换车,配件争议配件质量差,2020-06-21 09:46:37.010,处理反馈
486146,上汽大众,2017款 1.6L 自动 舒适版,上汽大众朗逸刹车时前轮位置存在异响,制动系统异响,2020-06-21 09:46:37.024,信息审核
486145,比亚迪,2015款 2.0T 自动 豪华型,比亚迪S7换挡困难 变速箱抖动 模块压力不够,变速器无法换挡变速器抖动变速器电脑板故障,2020-06-21 09:46:37.033,处理反馈
486144,吉利汽车,2020款 1.8TD DCT 智尊PRO,吉利博越挡位指示灯与厂家宣传不符,销售欺诈与宣传不符,2020-06-21 09:46:37.050,信息审核
486143,上汽集团,2017款 20T 自动 Trophy尊享互联网版 国V,上汽名爵6电瓶亏电希望尽快处理,车身附件及电器电瓶故障,2020-06-21 09:46:37.063,厂家受理
486142,沃尔沃亚太,2017款 2.0T T4 智远版,亚太沃尔沃S60高压油泵故障导致故障灯亮,发动机故障灯亮车身附件及电器汽油泵故障,2020-06-21 09:46:37.074,信息审核
486140,吉利汽车,2016款 1.8TD 自动 两驱 智慧型,吉利博越四个轮毂发生不同程度氧化,车身附件及电器轮毂问题,2020-06-21 09:46:37.084,信息审核
486136,东风日产,2015款 2.5L 两驱 智尚版 XL,东风日产楼兰变速箱压力控制阀故障,变速器滑阀箱故障,2020-06-21 09:46:37.095,处理反馈
486135,上汽大众,2018款 途安L 280TSI DSG 舒适版 7座 国VI,上汽大众途安启停失灵自动驻车失灵故障灯亮,制动系统手刹故障车身附件及电器行车安全辅助系统故障,2020-06-21 09:46:37.106,信息审核
486133,上汽通用五菱,2019款 250KM 智行版,宝骏E100车身掉漆 偶尔无法换挡,变速器无法换挡车身附件及电器漆面起泡开裂,2020-06-21 09:46:37.115,信息审核
486131,长安马自达,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控屏大面积开裂,车身附件及电器影音系统故障车身附件及电器部件开裂,2020-06-21 09:46:37.123,信息审核
486128,一汽-大众奥迪,2016款 40 TFSI 进取型,一汽大众奥迪Q5车内异味召回后依然很大,车身附件及电器车内异味其他召回方案不合理,2020-06-21 09:46:37.153,信息审核
486127,吉利汽车,2017款 1.5L 手动 向上互联版 三厢 百万款,吉利帝豪打方向盘时有异响一直未解决,转向系统异响,2020-06-21 09:46:37.167,信息审核
486125,一汽-大众,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳中控死机 赠送保养承诺不兑现,车身附件及电器影音系统故障服务态度不解决问题承诺不兑现销售承诺不兑现配件争议配件质量差,2020-06-21 09:46:37.176,处理反馈
486122,一汽-大众,2019款 改款 1.5L 手动 舒适型 国VI,一汽大众宝来天窗密封条损坏希望保修,车身附件及电器密封条损坏,2020-06-21 09:46:37.185,处理反馈
486117,捷豹,2019款 2.0T 四驱 都市尊享版,捷豹F-PACE经销商销售维修过的问题车,销售欺诈出售问题车,2020-06-21 09:46:37.197,用户评分
486115,一汽-大众奥迪,2010款 2.0TFSI  双离合 舒适型,一汽大众奥迪Q5变速箱功能失效无法挂挡,变速器无法换挡变速器故障灯亮,2020-06-21 09:46:37.207,信息审核
486113,一汽马自达,2011款 2.0 自动 精英版,一汽马自达睿翼仪表台开裂发粘厂家未回复,车身附件及电器仪表台开裂,2020-06-21 09:46:37.216,信息审核
486112,广汽三菱,2016款 2.4L 四驱精英版 5座,广汽三菱欧蓝德座椅生锈行驶时方向跑偏,前后桥及悬挂系统跑偏车身附件及电器车身生锈,2020-06-21 09:46:37.226,厂家受理
486109,众泰汽车,2017款 1.8T 双离合 尊贵型 贺岁版,众泰T700打方向沉重厂家无配件提供,转向系统打方向沉重转向系统失灵配件争议无零配件,2020-06-21 09:46:37.235,信息审核
486106,北京奔驰,2015款 200 L 运动型,北京奔驰C级4S店更换发动机未变更登记信息,人员技术操作不规范,2020-06-21 09:46:37.244,信息审核
486105,北汽昌河,2016款 1.5L 自动 炫酷版,北汽昌河Q35仪表显示安全气囊故障灯亮,车身附件及电器气囊故障,2020-06-21 09:46:37.253,信息审核
486101,东风标致,2015款 1.2T 自动 豪华版,东风标致408发动机故障灯报警希望处理,发动机故障灯亮,2020-06-21 09:46:37.263,信息审核
486095,众泰汽车,2017款 1.8T 双离合 尊贵型,众泰T700门把手损坏前轴承损坏右后胎压失灵,前后桥及悬挂系统车轮异响车身附件及电器胎压监测故障车身附件及电器车门把手故障,2020-06-21 09:46:37.274,信息审核
486092,北京现代,2015款 1.6T   双离合 两驱 智能型,北京现代途胜发动机烧机油希望尽快解决,发动机烧机油,2020-06-21 09:46:37.282,信息审核
486089,东风雪铁龙,2017款 380THP 尊贵型,东风雪铁龙C6 SOS灯常亮要求质保维修,车身附件及电器行车安全辅助系统故障,2020-06-21 09:46:37.292,处理反馈
486085,上汽斯柯达,2012款 1.8TSI 自动 优雅版,斯柯达昊锐车内异味越来越严重影响健康,车身附件及电器车内异味,2020-06-21 09:46:37.304,信息审核
486084,东风启辰,2014款 6.6KW 纯电动  领风版,启辰晨风动力电池衰减30%导致续航里程不足,车身附件及电器动力电池故障,2020-06-21 09:46:38.216,信息审核
486083,领克汽车,2017款 2.0T 自动 两驱 型 Pro,领克01低速加速发动机异响 4S店无法解决,发动机异响服务态度不解决问题,2020-06-21 09:46:38.227,处理反馈
